ProductFeed,ProductName,Price,ProductDescriptionShort,ProductDescriptionLong,ProductURL,ProductImage,ProductImageThumb1,ProductImageThumb2
Xtreme Lashes Consumer Product Feed as of (8/19/2015),GlideLiner™ Ready-to-Wear Collection Gift Set,40.00,"Design an iconic look with four runway-inspired shades presented in two dual-ended GlideLiner™ Long Lasting Eye Pencils. Created by Jo Mousselli to suit all eye colors. Each shade can be used alone or paired with another to enliven eyes. Styled with the exclusive Jo Mousselli™ Signature Wristlet, this modern ready-to-wear collection invites you to make a statement, day or night.","Design an iconic look with four runway-inspired shades presented in two dual-ended GlideLiner™ Long Lasting Eye Pencils. Created by Jo Mousselli to suit all eye colors. Each shade can be used alone or paired with another to enliven eyes. Styled with the exclusive Jo Mousselli™ Signature Wristlet, this modern ready-to-wear collection invites you to make a statement, day or night.What’s inside:Sapphire – Deep navy lusterCognac – Rich coppery brown Rose Gold – Golden pale pinkTruffle – Deep brown blackGlideliner™ SharpenerJo Mousselli™ Signature WristletBeauty Launchpad Award Reader's Choice Best Eyeliner - GlideLiner™ Long Lasting Eye PencilWith long-wear and saturated pigments, line, shade, and highlight your eyes effortlessly. Compatible with Xtreme Lashes® Eyelash Extensions.&nbsp;Valued at $80, the GlideLiner Ready-to-Wear Collection is available as a Limited Edition Gift Set for $40.",http://www.xtremelashes.com/eyelash-extensions-eyeliner-Glideliner-dual-ended-holiday-kit.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Glideliner-Ready-To-Wear-Set.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Glideliner-Ready-To-Wear-Set-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Glideliner-Ready-To-Wear-Set-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Flex Tip Applicator (pack of 100),19.00,"Flex Tip Applicators are an ideal alternative to traditional cotton swabs, which contain fibers that may get caught between natural eyelashes and eyelash extensions.","Tackle stubborn mascara and eye makeup with this one-of-a-kind detailing brush. The flexible silicone paddle-style brush is specially designed to maneuver smoothly and gently across eye area contours. Lint-free bristles produce an effective makeup-lifting lather when used with Xtreme Lashes Eye Makeup Remover &amp; Facial Cleanser. Flex Tip Applicators are an ideal alternative to traditional cotton swabs, which contain fibers that may get caught between natural eyelashes and eyelash extensions.",http://www.xtremelashes.com/eyelash-extensions-Flex-Tip-applicators-remove-makeup.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Skin Renewing™ Concealer - Fair,36.00,"Reveal a renewed complexion with an anti-aging concealer formulated to provide a three-part holistic rejuvenation to the skin. With continued use, the look of lines and wrinkles are diminished as skin appears visibly smoother, plumper, firmer, brighter, and more hydrated.","Reveal a renewed complexion with an anti-aging concealer formulated to provide a three-part holistic rejuvenation to the skin. With continued use, the look of lines and wrinkles are diminished as skin appears visibly smoother, plumper, firmer, brighter, and more hydrated.
&nbsp;
Corrective Prevention: Stimulate age intervention deep in the skin with encapsulated dipeptide Carnosine and antioxidants Silybum Marianum Fruit Extract and Tocopherol (Vitamin E) delivered effectively via a liposomal complex. This trio of age-fighters work together to reduce the appearance of lines and wrinkles, revitalize skin, increase elasticity, and prevent the stiffening and breakdown of collagen through glycation.
&nbsp;
Hydration &amp; Anti-Inflammation: Inhibit inflammation and dryness with Australian Myrtle Oil and Bisabolol (derived from German Chamomile), both offering hydrating, anti-inflammatory, and anti-microbial properties to soothe redness and heal blemishes.
&nbsp;
Youthful Radiance: Counteract the look of dark shadows, lines and wrinkles, enlarged pores, and uneven tone around the entire eye area and throughout the face with long wear, light diffusing pigments.
&nbsp;
&nbsp;",http://www.xtremelashes.com/jo-mousselli-beauty-skin-renewing-concealer.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-Fair.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-Fair-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Skin Renewing™ Concealer - Neutral,36.00,"Reveal a renewed complexion with an anti-aging concealer formulated to provide a three-part holistic rejuvenation to the skin. With continued use, the look of lines and wrinkles are diminished as skin appears visibly smoother, plumper, firmer, brighter, and more hydrated.","Reveal a renewed complexion with an anti-aging concealer formulated to provide a three-part holistic rejuvenation to the skin. With continued use, the look of lines and wrinkles are diminished as skin appears visibly smoother, plumper, firmer, brighter, and more hydrated.Corrective Prevention: Stimulate age intervention deep in the skin with encapsulated dipeptide Carnosine and antioxidants Silybum Marianum (milk thistle) fruit extract and Tocopherol (Vitamin E) delivered effectively via a liposomal complex. This trio of age-fighers work together to reduce the appearance of lines and wrinkles, revitalize skin, increase elasticity, and prevent the stiffening and breakdown of collagen through glycation.&nbsp;Hydration &amp; Anti-Inflammation: Inhibit inflammation and dryness with Australian Myrtle Oil and Bisabolol (derived from German Chamomile), both offering hydrating, anti-inflammatory, and anti-microbial properties to soothe redness and heal blemishes.Youthful Radiance: Counteract the look of dark shadows, lines and wrinkles, enlarged pores, and uneven skin tone around the entire eye area and throughout the face with long wear, light diffusing pigments.	Liposomal complex delivers Carnosine, Silybum Marianum (milk thistle) fruit extract, and Tocopherol (Vitamin E) into the skin to reduce the appearance of wrinkles to promote elasticity and prevent collagen breakdown through glycation.		Hydrate, protect, and soothe skin with anti-inflammatory and anti-microbial Australian Myrtle Oil and Bisabolol (derived from German Chamomile).		Medium coverage with light diffusing pigments. Long wear and water-resistant.		Ideal for entire eye area and face. For all skin types, including sensitive and mature.		Specially formulated to be compatible with Xtreme Lashes® Eyelash Extensions.		Dermatologist tested.",http://www.xtremelashes.com/jo-mousselli-beauty-skin-renewing-concealer.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-Neutral.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-Neutral-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Skin-Renewing-Concealer-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),GlideLiner™ Sharpener,3.00,Exclusively designed sharpener creates the ideal tip for perfectly lining the eye with GlideLiner Long Lasting Eye Pencil.,"Designed to ensure the artistic potential of GlideLiner Long Lasting Eye Pencil, this sharpener uses an Eisen second-blade system to create the ideal tip for precise and easy eye lining. For best results, sharpen GlideLiner Long Lasting Eye Pencil prior to each use.",http://www.xtremelashes.com/GlideLiner-gel-eyeliner-pencil-sharpener.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/GlideLiner-Eyelash-Extensions-gel-Eyeliner-sharpener.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/GlideLiner-Eyelash-Extensions-gel-Eyeliner-sharpener-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/GlideLiner-Eyelash-Extensions-gel-Eyeliner-sharpener-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Deluxe Retractable Lash Styling Wand,24.00,Groom lashes and brows on-the-go with this elegantly-designed retractable brush. This item is temporary out of stock and will ship early August.,"Primp lashes and brows&nbsp;to perfection with this eye-catching styling brush. The retractable design and patented collar allow you to protect the brush head from damage and debris. Compact and stylish, this styling tool is ideal for use at home and on-the-go! This item is temporary out of stock and will ship early August.",http://www.xtremelashes.com/eyelash-extensions-brush.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/eyelash-extension-brush-xtreme-lashes.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/eyelash-extension-brush-xtreme-lashes-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/eyelash-extension-brush-xtreme-lashes-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Mini Fan,28.00,"Quickly and gently dry eyelash extensions after cleansing with this powerful, yet compact-sized Mini Fan. Targeted airflow exits from the top of the fan for optimal control during the drying and styling process. Three AAA batteries included. Approximately 2.6"" x 4.8"".Ideal for all eyelash extension wearers, especially those who received a multi-lash application (Volumation™).","Quickly and gently dry eyelash extensions after cleansing with this powerful, yet compact-sized Mini Fan. Targeted airflow exits from the top of the fan for optimal control during the drying and styling process. Three AAA batteries included. Approximately 2.6"" x 4.8"".Ideal for all eyelash extension wearers, especially those who received a multi-lash application (Volumation™).",http://www.xtremelashes.com/eyelash-extensions-mini-fan.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Xtreme-Lashes-Mini-Fan.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Xtreme-Lashes-Mini-Fan-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Xtreme-Lashes-Mini-Fan-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Angled Brush,19.00,"Apply Long Lasting Brow Pen pigments with full control, from arch to tip. The tapered natural fibers allow for targeted blending and shaping.","Beautifully sculpt and perfect brows with the Angled Brush. Made with high quality durable fibers, this brush provides a firm, yet soft application for enhanced precision and ease. Use it to blend, fill, and shape Long Lasting Brow Pen pigments with full control from arch to tip.&nbsp;Insider Tips:&nbsp; The Angled Brush is ideal for creating a soft, natural finish. This brush can also be used with GlideLiner Long Lasting Eye Pencil to create a thin and precise line.",http://www.xtremelashes.com/angled-eyebrow-brush.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Angled-EyeBrow-Brush.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Angled-EyeBrow-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Angled-EyeBrow-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Lint-Free Applicator (pack of 25),7.00,"Soft, gentle and multi-purpose, these cleansing tools are perfect for removing mascara, eyeliner and eye shadow with expert control.","Soft, gentle and multi-purpose, these cleansing tools are perfect for removing mascara, eyeliner and eye shadow with expert control. Its unique applicator tip holds fluids in a non-drip suspension that quickly and gently releases onto the targeted surface during cleansing.",http://www.xtremelashes.com/eyelash-extensions-lint-free-applicators-remove-makeup.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Lint-Free-Applicator-Eyelash-Extension-Application.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Lint-Free-Applicator-Eyelash-Extension-Application-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Lint-Free-Applicator-Eyelash-Extension-Application-thumb2.jpg
Xtreme Lashes Consumer Product Feed as of (8/19/2015),Flex Tip Applicator (pack of 25),8.00,"Flex Tip Applicators are an ideal alternative to traditional cotton swabs, which contain fibers that may get caught between natural eyelashes and eyelash extensions.","Tackle stubborn mascara and eye makeup with this one-of-a-kind detailing brush. The flexible silicone paddle-style brush is specially designed to maneuver smoothly and gently across eye area contours. Lint-free bristles produce an effective makeup-lifting lather when used with Xtreme Lashes Eye Makeup Remover &amp; Facial Cleanser. Flex Tip Applicators are an ideal alternative to traditional cotton swabs, which contain fibers that may get caught between natural eyelashes and eyelash extensions.",http://www.xtremelashes.com/eyelash-extensions-Flex-Tip-applicators-remove-makeup.aspx,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application-thumb1.jpg,http://assets.xtremelashes.com/cx/imagesMakeup/Flex-Tip-Applicator-Eyelash-Extension-Application-thumb2.jpg
